================================================================================
TOP 100 SHADOW WALLETS — IDENTITY REPORT
Block: 7,738,615   Total shadow TAO: 1,075,902.89
================================================================================
Rank  SS58 Address                                              TAO  Identity
--------------------------------------------------------------------------------
1     5FEA1FfUPwT3K4zTsYbQx5X1G9R2ZjYLyFv12xBQxW9QgoCL   141,002.54  (no identity)
2     5ChHTBkaE1VgK5NX59uHuZoK8VQShojKBB1sGfXaZQpxVDCi   129,499.33  (no identity)
3     5Dhf6WgqrfhVyFCGqK4G5utro2jepscwryMhLHtpMfopxweC   117,065.00  (no identity)
4     5GUkyA37dHnc1rEijDtvBe5yYNCpaNjaHGqB7DY9Kb2KgSj3   108,063.77  (no identity)
5     5C9CxW9355u1sqy6Np85FfGssJAdyA8cAsjjV9YP8aaLvjEY    93,907.52  (no identity)
6     5Epz8SQ69FuZRLyjCAicn8i71SdyEYaWR5rZ5a1i1bgoxGaQ    90,843.50  (no identity)
7     5GVKorR78gqQCV6mrWMWX95hHG93ZaRAUShZVBNT768dvqv8    56,341.99  (no identity)
8     5HAe1pePzBuPqsF6BpTGN8vCngvKKJaRZ2HkHwFmJgWgAzcf    17,850.00  (no identity)
9     5DwksfKHHG5rURh9jpGaq87m5k3Jn8BJbY9geeX7zTGQD8Pr    15,131.82  (no identity)
10    5CXHJRRk5WAQ8hTkzRDEK89pbsZD2e4Lu7KBTFrHcUQ6GZvz     9,799.99  (no identity)
11    5Csy92Bbjh5gjkkrxbaq89G9pQjgRG6BkEs3J4XJxsEfwQq7     7,593.53  (no identity)
12    5Giw9LdLuk36TVsEcKZUwGUDZ9PkaoTkLXVZCcvJXEyNfXTW     4,567.45  (no identity)
13    5GHg6KMXajvZPAbLEK2eKDrWz8r15d7ymShTW8hMfZLiPHgs     2,951.85  (no identity)
14    5CerKrvptmdGG1ACaso4KJPSEJ32x4PJKKVg4qPP63z1sZ2x     2,942.00  (no identity)
15    5H3yvf9UJJDJE5qTxuZ3TATHYESTwNNabmvDHZui5jAY3xVN     2,899.60  (no identity)
16    5F2jfGDhBKkHmyhruz6WUZroadbK8BLJrxMnopJhyuMG4YsM     2,829.91  (no identity)
17    5FJWqFJY4fJzNXhVuM82vGFhcDkoUCp7D7wqDXrpdUquAFDK     2,430.00  (no identity)
18    5CTnBvYufP1a52scGqEQywq2L12jevTohPfHGxQDyroiZfb8     2,322.80  (no identity)
19    5Gi7CYCkrCkLKFKfpma7CoGYubcCddnDBbPBzQ2h9XC3YMxB     2,000.09  (no identity)
20    5Dz7MnHJnp9wjDzwLjiKjN7PHR2XcSQDEc78r4cKKxqGED1d     1,859.44  (no identity)
21    5ED88Xqf1uVhPUDh7FpnKx2btcgfJvHQGHJCBfEVuqKvN7Mj     1,735.43  (no identity)
22    5CUY9ZSE3ybVou184kqqYG22LBGhyNxwMfpgwkCmUGysRfJp     1,695.48  (no identity)
23    5DXrStxnnfUFCuKeovwuGbRu6ynJgTAqYB1iywgSaXsSPEbc     1,628.63  (no identity)
24    5HhaYKLQqnPSfeh6RQ4YRhu3kE5M1Qpq7b9Xq5pCyVr4beNq     1,617.74  (no identity)
25    5EFmEZjiCF9PxSf83vN1E5GoeDC3ZBBDMFtfQ5pJWkcnMe8w     1,579.63  (no identity)
26    5G6YTd5Wn8bjpMM45JZw7N8EmzRzpZt6rSvsb5gSaLUWqbVg     1,556.72  (no identity)
27    5GuJG6oa9boxFXZCtyNxjt7SH7fVCVWMNbJY3mgc7JDDZ4jV     1,478.00  (no identity)
28    5DS6fC6jSsKhvU46K8JFsKLG7ZbrWGfLuebg9tTt3AbCZc9Q     1,476.20  (no identity)
29    5FZ3pZh8fgNpi4cM4M4DdRrZcCuTmTqbS18BGgriEWW2EBbN     1,420.49  (no identity)
30    5Haf8ZBfQW737ZtDyeeeokc5BSBPmd1pftSHzpiUmBojGvkL     1,363.71  (no identity)
31    5Gzv7W43JoATVjKpYZK1rEHBPHRfbdTZq81XkYaCWSwgpiwJ     1,350.20  (no identity)
32    5F4mfSBYsxgMA69c4tP7AKkZKqnrdNaTH1kEtiLrMoubWgzt     1,331.16  (no identity)
33    5EXFjXe5oB5P4iekUpn85SyNLqG7KMZfpK99AWVNnoNTvoH8     1,322.00  (no identity)
34    5HdUiuWfe1ok2ATspWn674xTdc6xy6qPof55qyw3yaSSZVgi     1,280.44  (no identity)
35    5CsyQUofpYHf8v1KV8fYXAZh6p2U7oKGZK2b3ZBmXEtkkCa7     1,223.33  (no identity)
36    5DHdSJSuzCiV341C9S2Kg6Ju7dKRShzDMhZjjp9jH9vwNyYP     1,211.17  (no identity)
37    5FJAa5n81fMSxNSWzmPu4en6vu47FA2EGnSu8PwKDK5B2Jpd     1,173.54  (no identity)
38    5EEgRYqMB5feyqiUSGLD8g2S8CMxT69XgCUMMt6GBZBtaJTR     1,168.93  (no identity)
39    5CSAoJkLs76kApouczJmXkx3yycqg9hW9vBtB6NyUWf2sTBa     1,155.38  (no identity)
40    5DFqaZoSQaT7KdTvQihad4urAFwqsRs2hksC1ck3jnF9mnYv     1,126.44  (no identity)
41    5EvjQ1oh32Q1EhTis7DT3A9GrEuixrQJxN5ugr2qMYsnqsAo     1,125.27  (no identity)
42    5CHtDmTqL5RHCaFLrjbSQqtBHPsV1WRpLUq7aVrQD7LkzRa6     1,098.68  (no identity)
43    5Fj8Erip6w5SnsfNnBswCYCCgjcDAH4ZdQEQGBgNABZZ8oHS     1,079.19  (no identity)
44    5CQaSq9LfeV4ZMxjqspaYLoVdeh6M178TRE1zpecu6WdtTca     1,065.57  (no identity)
45    5EZsi1bnbdsJ9iDRzYPr7eg4FBVqBnLCvmcq5hgYjt3sGEFB     1,031.70  (no identity)
46    5CheNXamEr5FxNZ3tbPGzttsxEYtmpFUaACF1v2MznVYCXjC     1,028.93  (no identity)
47    5D7GBhjyhS3acT9R9i1y4AfyeJNrQ1npAFosoaxLPCfcwRTK     1,008.35  (no identity)
48    5DRuVrWm59smqB5GBKdFq3BuEBLqo8DSQoUt7L6mgTwYAeaU     1,003.02  (no identity)
49    5FLJWL6wfXMF9UNRWawg2ACrhZ7KpSbjkXaPKedfDermNyfm     1,000.50  (no identity)
50    5GutGrNydnWZV6hxPc5zhJJQN4N8EqaMpGwEcRDUNLiDCKhF     1,000.00  (no identity)
51    5H6W8ZCg2aDEPcnkX57XwBy9zgBjBKvGeCtFL2x2BWmiRCDP     1,000.00  (no identity)
52    5HAs4XWS8KK4agDT1goXnF29RNTcKt2Rm3wgxBspmLkRGTVN     1,000.00  (no identity)
53    5FeJr78wjMrDrb4beuuBSHjNU51GCtPWkkC9ReuMLLcevadC       970.99  (no identity)
54    5ES3rnrekK3WeFChs6UDKkjaPUDGYHCh9aqitwXudnQV5AoZ       957.46  (no identity)
55    5GC52DVs1hiR7ZwBo3gUDPZ2u39Lm8MBVnJiEHJjSyH3DLBP       933.30  (no identity)
56    5FFWwdsi5pHJhvZtj8PyCZsiNvACL8UFv9zZtYZkAsKbwJ9A       932.78  (no identity)
57    5DJ1QrDEH3m4TEsSYHVHBmhBcKdtbpCUuemWLVYEWoKJAyH1       924.00  (no identity)
58    5GeqgkyD8eXYsX8jaqiH4mxvgC8JuDYYomoRm1ikRobkQPuR       897.53  (no identity)
59    5EmXsHE53pMEzaHJZF2a3uVpetARCKSUQs8smSPjZv6PwTYM       862.85  (no identity)
60    5FGzzmUbBYsBKit9KcRzFMuGBkLLuBwNUfa5KMJrpkQRRUwA       815.96  (no identity)
61    5GenQ1yp9hR1gNwcDnjXAfVwNJybJuiv1emB1faKthzMzcx5       810.77  (no identity)
62    5CQHU1yWVX1G8XZXVjHbkTR28ERNhANxPsK9bLG2LN7zxsER       803.59  (no identity)
63    5G6S4pUkTXqXWGFW3fgk5TBT8mGYpCZcwLBug7czgS4n4TUy       789.48  (no identity)
