================================================================================
KNOWN HOLDER ANALYSIS — By Combined Stakeweight (Free + Validator Stake)
Known entities: 2369  |  Source: known_holders.json + validator_stake_weight.json
================================================================================

--- TOP 100 KNOWN HOLDERS BY COMBINED WEIGHT (n=2369 total) ---
Name                               Free TAO     Stake TAO      Combined  HKs  Role
----------------------------------------------------------------------------------------------------
  tao.bot                                 3       853,488       853,491    1  validator
  Kraken                                 10       723,400       723,410   95  validator
  Taostats                                2       583,924       583,925    2  validator
  Yuma, a DCG Company                    10       567,258       567,268  128  validator
  Openτensor Foundaτion                  23       413,881       413,904  106  validator
  General Tensor (RoundTable21           44       293,751       293,796  134  validator
  Crucible Labs                         486       276,705       277,190    3  validator
  Polychain                               7       223,286       223,292    2  validator
  (no identity)                          42       209,589       209,631    1  validator
  TAO.com                                 8       206,364       206,372  112  validator
  tao5                                    6       196,277       196,283    1  validator
  Rizzo (Insured)                         7        98,894        98,901  136  validator,sn_owner([20])
  (no identity)                          26        93,432        93,459    1  validator
  Datura                                  0        68,519        68,519    1  validator
  (no identity)                          12        63,104        63,116    5  validator
  xTAO                                    1        60,195        60,196    1  validator
  1T1B.AI                                55        56,801        56,855    2  validator
  Neuralteq.com                          12        54,245        54,256    2  validator
  (no identity)                           7        52,884        52,891    1  validator
  FirstTensor.com                         0        48,807        48,807    1  validator
  Tatsu                                   0        44,971        44,971    2  validator
  Firepool                                1        40,971        40,971    1  validator
  PRvalidator                             0        36,013        36,013    1  validator
  TAO.app                                 0        32,951        32,951   22  validator
  NorthTensor                             7        28,695        28,702    1  validator
  Tensorplex Labs                         2        19,690        19,693    1  validator
  Ary van der Touw                       11        19,633        19,644    7  validator
  MUV                                     0         8,096         8,096   56  validator
  Neural Internet                         1         7,893         7,894    2  validator,sn_owner([27])
  Cortex Foundαtion                       1         4,651         4,652    1  validator
  (no identity)                           0         4,423         4,424   22  validator
  Kooltek68                               0         2,433         2,434   59  validator
  Owner51                             1,941             0         1,941    2  validator,sn_owner([51])
  Astrid                                  6         1,810         1,816    1  validator
  TaoStation                              0         1,801         1,801    1  validator
  (no identity)                           0         1,524         1,525    1  validator
  (no identity)                       1,341           100         1,441    1  validator,sn_owner([97])
  Sportstensor                        1,403             0         1,403    1  validator,sn_owner([41])
  (no identity)                       1,126             0         1,126    1  validator,sn_owner([125])
  Kiln                                    3         1,074         1,077    1  validator
  (no identity)                           4         1,062         1,066    1  validator
  (no identity)                         803             0           803    1  validator
  Tensor.Exchange                         0           713           713    1  validator
  FlameWire | SN97                      600             0           600    1  validator
  Tao Bridge                            540            38           578    1  validator
  (no identity)                         553             0           553    2  validator
  (no identity)                           0           542           543    1  validator
  (no identity)                         498             0           498    1  validator
  InfStones                               0           412           412    1  validator
  (no identity)                         387             0           387    1  validator
  TaoPolishNode                           0           328           329    1  validator
